Point Name,DWATT,B1VIB1,B1VIB2,B1RADVIBX,B1RADVIBY,B2VIB1,B2VIB2,B2RADVIBX,B2RADVIBY,TURBAXDISP1,TURBAXDISP2,B1TEMP1,B2TEMP1,ACTTBTEMP1,INACTTBTEMP1,LOTEMP1
Description,GROSS LOAD,TURB BRG 1 VIB 1,TURB BRG 1 VIB 2,TURB BRG 1 RAD VIB X,TURB BRG 1 RAD VIB Y,TURB BRG 2 VIB 1,TURB BRG 2 VIB 2,TURB BRG 2 RAD VIB X,TURB BRG 2 RAD VIB Y,TURB AXIAL POS 1,TURB AXIAL POS 2,TURB BRG 1 TEMP 1,TURB BRG 2 TEMP 1,THRUST BRG ACT TEMP 1,THRUST BRG INACT TEMP 1,LO SUPPLY TEMP 1
Extended Name,,,,,,,,,,,,,,,,
Extended Description,,,,,,,,,,,,,,,,
Units,MW,IN/S,IN/S,MILS,MILS,IN/S,IN/S,MILS,MILS,MILS,MILS,DEGF,DEGF,DEGF,DEGF,DEGF
7/24/2019 16:59,177.4290161,0.240403414,0.239032507,2.840137482,3.088855743,0.089657307,0.082248449,1.349067688,1.239013672,8.142780304,5.251003265,195.7826996,189.3426514,174.7875977,143.4069214,128.4948883
7/24/2019 17:59,177.5957642,0.241994858,0.242388248,2.787971497,3.098583221,0.089746714,0.083762407,1.38130188,1.206874847,8.089805603,5.24489975,195.5322876,189.2943573,175.1143799,143.8084259,128.9264679
7/24/2019 18:59,178.7225037,0.243902206,0.245165825,2.832984924,3.153133392,0.096917152,0.086957216,1.341915131,1.202964783,8.145236969,5.304695129,195.0735626,189.859726,174.9450378,143.3236542,128.2297668
7/24/2019 19:59,178.8777161,0.248664618,0.24895072,2.847194672,3.155422211,0.09611249,0.075477362,1.415252686,1.216506958,8.117462158,5.317901611,195.1182709,190.3135223,175.4938507,143.8623962,129.1087341
7/24/2019 20:59,179.2250061,0.250607729,0.25460124,2.787876129,3.13129425,0.08534193,0.080490112,1.348114014,1.216506958,8.128643036,5.339717865,195.3066406,187.7442017,175.3214417,143.6971893,129.047226
7/24/2019 21:59,173.9704895,0.24048686,0.243377686,2.767086029,3.090667725,0.08944273,0.0839293,1.33972168,1.191902161,8.01184082,5.263755798,194.397049,188.7462311,174.7029724,143.8904724,128.9364777
7/24/2019 22:59,178.8974304,0.253325701,0.256979465,2.783489227,3.15990448,0.088196993,0.086170435,1.313209534,1.193904877,8.21244812,5.471084595,194.5505524,190.2554932,174.4236298,143.0345917,128.2262573
7/24/2019 23:59,154.8213806,0.238323212,0.240701437,2.711296082,3.081417084,0.079542398,0.073719025,1.253700256,1.164150238,7.337451935,4.408168793,194.2582703,190.5431061,170.7467957,143.7633362,128.9683838
7/25/2019 0:59,179.1979675,0.260168314,0.258260965,2.820110321,3.258800507,0.082230568,0.080674887,1.31111145,1.158809662,8.137557983,5.27784729,194.4619598,189.4542084,175.2716064,143.6921234,128.7930145
7/25/2019 1:59,178.2735291,0.253295898,0.255197287,2.846240997,3.249835968,0.082117319,0.078552961,1.285266876,1.16815567,8.234642029,5.490684509,194.6274567,190.6542206,174.5723877,143.8023376,129.1339722
7/25/2019 2:59,155.2620239,0.240457058,0.242966413,2.692222595,3.102588654,0.08431673,0.081115961,1.24168396,1.151657104,7.484672546,4.606033325,193.094101,188.1151123,170.0187073,143.13974,128.2874146
7/25/2019 3:59,178.3146667,0.252610445,0.253230333,2.835559845,3.238677979,0.079673529,0.080990791,1.293754578,1.166534424,8.272506714,5.572628021,194.0806274,190.9209442,174.675766,143.8839111,129.2928162
7/25/2019 4:59,178.0316162,0.252401829,0.256878138,2.853679657,3.329467773,0.087440014,0.086641312,1.290988922,1.178264618,8.29510498,5.622028351,193.9178009,190.499588,174.0811157,143.4595184,128.5822144
7/25/2019 5:59,159.8242493,0.237727165,0.240141153,2.8008461,3.165245056,0.079971552,0.074738264,1.267337799,1.16891861,7.606460571,4.849720001,193.6136475,190.509491,171.5448608,143.7076111,129.0233765
7/25/2019 6:59,177.3053894,0.250315666,0.253272057,2.878570557,3.311538696,0.081968307,0.077939034,1.270580292,1.142406464,8.244037628,5.611991882,193.9207001,190.8420258,174.1562958,143.9755859,129.2590637
7/25/2019 7:59,159.5551147,0.242614746,0.246477127,2.791023254,3.179073334,0.081294775,0.076502562,1.242637634,1.167488098,7.674407959,4.937911987,193.047348,189.5281677,171.1966705,143.4131622,128.720993
7/25/2019 8:59,160.2402954,0.244033337,0.244468451,2.799606323,3.221893311,0.073647499,0.071299076,1.222705841,1.12991333,7.697414398,4.949165344,193.6553192,190.5954895,171.658432,144.0919952,129.32901
7/25/2019 9:59,176.7311096,0.246983767,0.251084566,2.923583984,3.375816345,0.08379221,0.082814693,1.257610321,1.16071701,8.259559631,5.628059387,193.7115631,190.3672943,173.8753815,143.8000946,129.0843811
7/25/2019 10:59,160.5355225,0.236219168,0.238239765,2.868843079,3.2081604,0.079667568,0.069451332,1.24130249,1.160621643,7.785774231,5.009151459,192.9461365,189.9989624,170.879837,143.4023285,128.4569244
7/25/2019 11:59,0.081268311,0.003695488,0.003677607,0.464344025,0.445270538,0.002366304,0.00217557,0.403785706,0.379276276,-19.34220886,-22.16825485,117.5293274,117.6250687,102.7850723,104.8370056,98.39789581
7/25/2019 12:59,0.080047607,0.003933907,0.003790855,0.110816956,0.09355545,0.002008677,0.001990795,0.087833405,0.083351135,-21.9473114,-24.92790222,114.1465073,113.2433014,98.88430023,98.66846466,97.06694031
7/25/2019 13:59,0.073699951,0.00397563,0.004333258,0.094509125,0.091552734,0.002002716,0.002008677,0.124645233,0.073814392,-21.71060944,-24.17297363,109.2670059,108.0133896,94.01838684,93.51165009,91.4151001
7/25/2019 14:59,0.066986084,0.003355742,0.003367662,0.097560883,0.143527985,0.001955032,0.001829863,0.088119507,0.057601929,-21.53301239,-23.90167618,108.8625565,107.3136292,93.5351944,93.0499115,91.78860474
7/25/2019 15:59,0.077819824,0.003492832,0.003558397,0.088787079,0.105857849,0.001817942,0.001698732,0.109672546,0.063323975,-21.6691494,-24.22983551,106.2133331,104.8341293,90.85347748,90.17173004,88.92658997
7/25/2019 16:59,0.074676514,0.003886223,0.003707409,0.09727478,0.122070313,0.002151728,0.002068281,0.073814392,0.075626373,-21.95215225,-24.72860718,106.0246658,104.5363846,90.73634338,90.36451721,88.69074249
7/25/2019 17:59,0.078979492,0.004345179,0.00436902,0.08430481,0.091743469,0.002866983,0.002545118,0.076389313,0.072097778,-22.26953506,-24.4172821,107.016922,105.4622879,91.81476593,91.34431458,89.6439209
7/25/2019 18:59,0.08581543,0.003987551,0.00385046,0.090789795,0.157260895,0.002241135,0.001978874,0.088882446,0.055980682,-22.44913483,-24.49326515,108.1493759,106.302475,92.88722229,92.05950928,90.92319489
7/25/2019 19:59,0.077423096,0.003492832,0.003534555,0.098228455,0.124454498,0.001907349,0.001913309,0.083827972,0.059127808,-22.65443802,-24.59289932,107.9011612,106.138443,92.7098465,91.9076004,90.61125183
7/25/2019 20:59,0.083465576,0.00398159,0.00397563,0.084018707,0.069999695,0.002068281,0.001990795,0.077915192,0.062561035,-22.69163132,-24.75562096,107.6447754,105.9500351,92.45017242,91.77973938,90.55171204
7/25/2019 21:59,0.090209961,0.003755093,0.00385046,0.139808655,0.104522705,0.00205636,0.001841784,0.091838837,0.178050995,-22.90420532,-24.93412399,107.5362244,106.0602798,92.41431427,92.20285797,90.43940735
7/25/2019 22:59,0.082885742,0.003641844,0.003528595,0.104904175,0.121879578,0.001913309,0.001865625,0.091362,0.074481964,-23.18599319,-25.40218735,108.069397,106.3969421,92.9540863,92.33491516,91.04721832
7/25/2019 23:59,0.090087891,0.003397465,0.003415346,0.090312958,0.091838837,0.002110004,0.001835823,0.086688995,0.081539154,-23.39906693,-25.116539,107.4497986,105.9527664,92.32678986,91.75531006,90.53903198
7/26/2019 0:59,0.075958252,0.003582239,0.003665686,0.096797943,0.25472641,0.002247095,0.002104044,0.084590912,0.075531006,-23.41921234,-25.09315109,107.9754944,106.2394104,92.85900879,92.30566406,91.09796906
7/26/2019 1:59,0.089416504,0.003659725,0.003606081,0.08392334,0.061225891,0.00191927,0.001811981,0.076007843,0.063323975,-23.4380722,-25.11837387,106.9841919,105.5297623,91.78147125,91.32777405,90.15604401
7/26/2019 2:59,0.098754883,0.003683567,0.003689528,0.097370148,0.098514557,0.002110004,0.001877546,0.109291077,0.066375732,-23.50435257,-25.37517548,107.1269455,105.4337463,91.77832794,91.13848877,89.80513
