Point Name,DEMO.SIM.II100,DEMO.SIM.TI101,DEMO.SIM.TI102,DEMO.SIM.XI101X,DEMO.SIM.XI101Y,DEMO.SIM.XI102X,DEMO.SIM.XI102Y
Description,MOTOR CURRENT,NDE BRNG TEMP,DE DRNG TEMP,REL VIB NDE X,REL VIB NDE Y,REL VIB DE X,REL VIB DE Y
Extended Name,,,,,,,
Extended Description,,,,,,,
Units,A,C,C,um,um,um,um
01/03/2017 22:00,467.8537248,60.99938202,53.9997673,11.68605681,11.07406805,12.05103227,16.83158455
01/03/2017 23:00,469.0033369,60.99938202,53.49514821,11.57184187,10.97531448,11.76919321,16.67333593
01/04/2017 00:00,467.8756002,60.99938202,52.99878311,11.54038566,10.83926357,11.80059656,16.64888786
01/04/2017 01:00,467.8590147,60.99938202,52.99878311,11.35960141,10.63280906,11.75993821,16.62921344
01/04/2017 02:00,469.2880114,60.96780861,52.99878311,11.37070415,10.6698429,11.74964955,16.56212961
01/04/2017 03:00,470.7037302,60.98279749,52.99878311,11.34327328,10.66757988,11.78772278,16.40467795
01/04/2017 04:00,477.4639681,60.97410832,52.99878311,11.4205014,10.64005885,11.86482953,16.61126722
01/04/2017 05:00,478.3822244,60.9993782,52.99878311,11.46601587,10.67334794,11.74839544,16.72477767
01/04/2017 06:00,472.9702407,60.9993782,52.99878311,11.35903194,10.76174543,11.76258445,16.70345474
01/04/2017 07:00,463.3832678,60.27693573,52.99878311,11.19294004,10.64018123,11.65794636,16.503954
01/04/2017 08:00,467.6234478,60.24857306,52.99878311,11.08791696,10.56713475,11.53603227,16.56366645
01/04/2017 09:00,468.9945598,60.9993782,52.99878311,11.23669819,10.54254373,11.56925292,16.4483686
01/04/2017 10:00,467.6899351,60.9993782,52.99878311,11.27606613,10.59825243,11.69596361,16.31829677
01/04/2017 11:00,469.7596487,60.9993782,53.03753919,11.31434599,10.69434014,11.66577437,16.40659048
01/04/2017 12:00,468.1082585,60.9993782,53.99512872,11.38824501,10.71416347,11.44827596,16.51781296
01/04/2017 13:00,462.7185913,60.9993782,53.9997673,11.40717129,10.80788077,11.45177817,16.3753839
01/04/2017 14:00,462.0374086,60.9993782,53.9997673,11.42471699,10.89598789,11.60798105,16.42654016
01/04/2017 15:00,468.6198553,60.9993782,53.9997673,11.63763947,10.99287626,11.57132715,16.39231672
01/04/2017 16:00,468.2893677,60.9993782,53.9997673,11.67365343,11.08730595,11.94070607,16.5276645
01/04/2017 17:00,471.4129676,60.9993782,53.9997673,11.76629236,11.27881949,12.03273058,16.62524419
01/04/2017 18:00,470.0535844,60.9993782,53.9997673,11.78983102,11.19500522,12.06773273,16.80368606
01/04/2017 19:00,468.4659995,60.9993782,53.9997673,11.67640541,11.17225697,11.96159626,16.78991512
01/04/2017 20:00,462.0157857,60.9993782,53.9997673,11.57764959,11.07051651,11.93097648,16.68873699
01/04/2017 21:00,471.0316444,60.9993782,53.9997673,11.57164801,10.99609343,12.0619869,16.77569813
01/04/2017 22:00,474.2375373,60.9993782,53.9997673,11.69986337,10.94586389,11.97548122,16.87476367
01/04/2017 23:00,477.5175096,60.9993782,53.9997673,11.78286926,11.05014566,11.99497606,16.74474428
01/05/2017 00:00,477.6393117,60.9993782,53.9997673,11.71915312,10.99407552,11.91088327,16.76120202
01/05/2017 01:00,475.2097143,60.9993782,53.9997673,11.72802803,11.07301918,11.87892848,16.68162817
