TS,PWR1_POWER,PF1_POWER FACTOR,JAVG_CURRENT AVG,JPH1_CURRENT PH A,JPH2_CURRENT PH B,JPH3_CURRENT PH C,TIPH1_WINDING TEMP A,TIPH2_WINDING TEMP B,TIPH3_WINDING TEMP C,TTIB_MOTOR IB BRG TEMP,TTOB_MOTOR OB BRG TEMP,VTIBX_MOTOR IB BRG VIB X,VTIBY_MOTOR IB BRG VIB Y,VTOBX_MOTOR OB BRG VIB X,VTOBY_MOTOR OB BRG VIB Y
12-02-2018 06:30,0,1,0,0,0,0,69.83347321,69.92127228,69.60715485,68.92824554,74.36175537,0.003814755,NaN,0.003814755,0.002334893
12-02-2018 07:00,0,1,0,0,0,0,69.60715485,69.83347321,69.60715485,68.70196533,74.13525391,0,NaN,0.003814755,0.003814755
12-02-2018 07:30,0,1,0,0,0,0,69.60715485,69.83347321,69.45628357,68.70196533,74.13525391,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 08:00,0,1,0,0,0,0,69.60715485,69.60715485,69.38084412,68.70196533,74.13525391,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 08:30,0,1,0,0,0,0,69.38084412,69.60715485,69.38084412,68.70196533,74.13525391,0.000195628,NaN,0.003814755,0.003814755
12-02-2018 09:00,0,0.068376072,0,0,0,0,69.38084412,69.60715485,69.38084412,68.70196533,74.3462677,0.003553917,NaN,0.003814755,0.003814755
12-02-2018 09:30,0,1,0,0,0,0,69.38084412,69.56072998,69.20096588,68.70196533,73.9087677,0.000782514,NaN,0.003814755,0.000782514
12-02-2018 10:00,0,1,0,0,0,0,69.15454102,69.38084412,69.15454102,68.47568512,73.9087677,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 10:30,0,1,0,0,0,0,69.15454102,69.38084412,69.15454102,68.47568512,73.9087677,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 11:00,0,1,0,0,0,0,69.15454102,69.38084412,69.15454102,68.47568512,73.9087677,0.001249661,NaN,0.003814755,0.002565094
12-02-2018 11:30,0,1,0,0,0,0,69.15454102,69.38084412,68.97079468,68.47568512,74.13525391,0.000717304,NaN,0.003814755,0.003814755
12-02-2018 12:00,0,1,0,0,0,0,68.94758606,69.15454102,68.92824554,68.47568512,73.9087677,0,NaN,0.003814755,0.003814755
12-02-2018 12:30,0,1,0,0,0,0,68.92824554,69.15454102,68.92824554,68.47568512,73.68228149,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 13:00,0,1,0,0,0,0,68.92824554,69.15454102,68.92824554,68.47568512,73.68228149,0.002999637,NaN,0.003814755,0.002999637
12-02-2018 13:30,0,1,0,0,0,0,68.92824554,69.15454102,68.92824554,68.47568512,73.9087677,0.003814755,NaN,0.003814755,0.001336795
12-02-2018 14:00,0,1,0,0,0,0,68.92824554,68.92824554,68.92824554,68.35964966,74.019104,0.001858471,NaN,0.003814755,0.001858471
12-02-2018 14:30,0,1,0,0,0,0,68.70196533,68.92824554,68.70196533,68.24942017,73.76865387,0.002359976,NaN,0.00145478,0.00145478
12-02-2018 15:00,0,1,0,0,0,0,68.70196533,68.92824554,68.70196533,68.24942017,73.68228149,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 15:30,-102.4088211,1,0,0,0,0,68.70196533,68.92824554,68.70196533,68.24942017,73.68228149,0.001755999,NaN,0.003814755,0.003814755
12-02-2018 16:00,0,1,0,0,0,0,68.70196533,68.77738953,68.70196533,68.24942017,73.75777435,0,NaN,0.003814755,0.003814755
12-02-2018 16:30,0,1,0,0,0,0,68.66546631,68.70196533,68.47568512,68.24942017,73.9087677,0.003199472,NaN,0.003814755,0.003814755
12-02-2018 17:00,0,1,0,0,0,0,68.47568512,68.70196533,68.47568512,68.24942017,73.68228149,0.003814755,NaN,0.003814755,0.003814755
12-02-2018 17:30,0,1,0,0,0,0,68.47568512,68.70196533,68.47568512,68.24942017,73.45581055,0.00305786,NaN,0.003814755,0.00305786
12-02-2018 18:00,0,1,0,0,0,0,68.47568512,68.70196533,68.47568512,68.24942017,73.59169006,0.002288853,NaN,0.003814755,0.003814755
